NO,Temp,Time
1,27.31,2016-09-08 12:32:05
2,27.25,2016-09-08 12:32:06
3,27.25,2016-09-08 12:32:07
4,27.25,2016-09-08 12:32:08
5,27.25,2016-09-08 12:32:09
6,27.25,2016-09-08 12:32:10
7,27.31,2016-09-08 12:32:11
8,27.31,2016-09-08 12:32:12
9,27.25,2016-09-08 12:32:13
10,27.25,2016-09-08 12:32:14
11,27.25,2016-09-08 12:32:15
12,27.25,2016-09-08 12:32:16
13,27.25,2016-09-08 12:32:17
14,27.38,2016-09-08 12:32:18
15,27.88,2016-09-08 12:32:19
16,27.81,2016-09-08 12:32:20
17,27.94,2016-09-08 12:32:21
18,28.06,2016-09-08 12:32:22
19,28.13,2016-09-08 12:32:23
20,28.19,2016-09-08 12:32:24
21,28.19,2016-09-08 12:32:25
22,28.19,2016-09-08 12:32:26
23,28.19,2016-09-08 12:32:27
24,28.19,2016-09-08 12:32:28
25,28.25,2016-09-08 12:32:29
26,28.19,2016-09-08 12:32:30
27,28.19,2016-09-08 12:32:31
28,28.25,2016-09-08 12:32:32
29,28.19,2016-09-08 12:32:33
30,28.19,2016-09-08 12:32:34
31,28.25,2016-09-08 12:32:35
32,28.19,2016-09-08 12:32:36
33,28.19,2016-09-08 12:32:37
34,28.25,2016-09-08 12:32:38
35,28.25,2016-09-08 12:32:39
36,28.19,2016-09-08 12:32:40
37,28.19,2016-09-08 12:32:41
38,28.25,2016-09-08 12:32:42
39,28.19,2016-09-08 12:32:43
40,28.25,2016-09-08 12:32:44
41,28.19,2016-09-08 12:32:45
42,28.19,2016-09-08 12:32:46
43,28.19,2016-09-08 12:32:47
44,28.19,2016-09-08 12:32:48
45,28.19,2016-09-08 12:32:49
46,28.19,2016-09-08 12:32:50
47,28.19,2016-09-08 12:32:51
48,28.19,2016-09-08 12:32:52
49,28.19,2016-09-08 12:32:53
50,28.19,2016-09-08 12:32:54
51,28.19,2016-09-08 12:32:55
52,28.19,2016-09-08 12:32:56
53,28.19,2016-09-08 12:32:57
54,28.19,2016-09-08 12:32:58
55,28.13,2016-09-08 12:32:59
56,28.13,2016-09-08 12:33:00
57,28.19,2016-09-08 12:33:01
58,28.13,2016-09-08 12:33:02
59,28.13,2016-09-08 12:33:03
60,28.19,2016-09-08 12:33:04
61,28.13,2016-09-08 12:33:05
62,28.13,2016-09-08 12:33:06
63,28.13,2016-09-08 12:33:07
64,28.13,2016-09-08 12:33:08
65,28.13,2016-09-08 12:33:09
66,28.06,2016-09-08 12:33:10
67,28.06,2016-09-08 12:33:11
68,28.13,2016-09-08 12:33:12
69,28.13,2016-09-08 12:33:13
70,28.06,2016-09-08 12:33:14
71,28.06,2016-09-08 12:33:15
72,28.06,2016-09-08 12:33:16
73,28.06,2016-09-08 12:33:17
74,28.06,2016-09-08 12:33:18
75,28.06,2016-09-08 12:33:19
76,28.00,2016-09-08 12:33:20
77,28.00,2016-09-08 12:33:21
78,28.00,2016-09-08 12:33:22
79,28.00,2016-09-08 12:33:23
80,28.00,2016-09-08 12:33:24
81,28.00,2016-09-08 12:33:25
82,28.00,2016-09-08 12:33:26
83,28.00,2016-09-08 12:33:27
84,27.94,2016-09-08 12:33:28
85,27.94,2016-09-08 12:33:29
86,27.94,2016-09-08 12:33:30
87,27.94,2016-09-08 12:33:31
88,27.94,2016-09-08 12:33:32
89,27.94,2016-09-08 12:33:33
90,27.94,2016-09-08 12:33:34
91,27.94,2016-09-08 12:33:35
92,27.94,2016-09-08 12:33:36
93,27.94,2016-09-08 12:33:37
94,27.94,2016-09-08 12:33:38
95,27.88,2016-09-08 12:33:39
96,27.94,2016-09-08 12:33:40
97,27.94,2016-09-08 12:33:41
98,27.94,2016-09-08 12:33:42
99,27.88,2016-09-08 12:33:43
100,27.88,2016-09-08 12:33:44
101,27.88,2016-09-08 12:33:45
102,27.88,2016-09-08 12:33:46
103,27.81,2016-09-08 12:33:47
104,27.81,2016-09-08 12:33:48
105,27.81,2016-09-08 12:33:49
106,27.81,2016-09-08 12:33:50
107,27.81,2016-09-08 12:33:51
108,27.81,2016-09-08 12:33:52
109,27.81,2016-09-08 12:33:53
110,27.81,2016-09-08 12:33:54
111,27.81,2016-09-08 12:33:55
112,27.81,2016-09-08 12:33:56
113,27.81,2016-09-08 12:33:57
114,27.81,2016-09-08 12:33:58
115,27.81,2016-09-08 12:33:59
116,27.81,2016-09-08 12:34:00
117,27.81,2016-09-08 12:34:01
118,27.81,2016-09-08 12:34:02
119,27.88,2016-09-08 12:34:03
120,27.88,2016-09-08 12:34:04
121,27.88,2016-09-08 12:34:05
122,27.88,2016-09-08 12:34:06
123,27.88,2016-09-08 12:34:07
124,27.81,2016-09-08 12:34:08
125,27.81,2016-09-08 12:34:09
126,27.81,2016-09-08 12:34:10
127,27.81,2016-09-08 12:34:11
128,27.81,2016-09-08 12:34:12
129,27.81,2016-09-08 12:34:13
130,27.81,2016-09-08 12:34:14
131,27.81,2016-09-08 12:34:15
132,27.81,2016-09-08 12:34:16
133,27.81,2016-09-08 12:34:17
134,27.81,2016-09-08 12:34:18
135,27.81,2016-09-08 12:34:19
136,27.88,2016-09-08 12:34:20
137,27.81,2016-09-08 12:34:21
138,27.88,2016-09-08 12:34:22
139,27.81,2016-09-08 12:34:23
140,27.81,2016-09-08 12:34:24
141,27.81,2016-09-08 12:34:25
142,27.81,2016-09-08 12:34:26
143,27.81,2016-09-08 12:34:27
144,27.75,2016-09-08 12:34:28
145,27.81,2016-09-08 12:34:29
146,27.75,2016-09-08 12:34:30
147,27.75,2016-09-08 12:34:31
148,27.69,2016-09-08 12:34:32
149,27.69,2016-09-08 12:34:33
150,27.69,2016-09-08 12:34:34
151,27.69,2016-09-08 12:34:35
152,27.69,2016-09-08 12:34:36
153,27.69,2016-09-08 12:34:37
